DATE,CRSPLCV1,CRSPLCVT
20150106,1401.54,1487.73
20150107,1416.51,1504.34
20150108,1442.44,1531.93
20150109,1429.31,1518.00
20150112,1418.77,1506.81
20150113,1414.24,1502.15
20150114,1404.36,1491.68
20150115,1394.11,1480.86
20150116,1413.06,1501.00
20150120,1412.88,1500.88
20150121,1419.35,1508.03
20150122,1440.48,1530.47
20150123,1429.01,1518.29
20150126,1432.61,1522.13
20150127,1413.41,1501.74
20150128,1389.49,1476.49
20150129,1402.23,1490.04
20150130,1380.22,1466.70
20150202,1401.34,1489.20
20150203,1423.49,1512.76
20150204,1417.08,1506.76
20150205,1432.19,1522.91
20150206,1430.48,1521.76
20150209,1424.23,1515.14
20150210,1437.38,1529.16
20150211,1434.68,1526.89
20150212,1447.82,1541.52
20150213,1452.08,1546.24
20150217,1454.39,1549.08
20150218,1451.69,1546.28
20150219,1447.47,1542.13
20150220,1455.29,1550.80
20150223,1453.63,1549.03
20150224,1460.18,1556.08
20150225,1457.06,1553.03
20150226,1452.83,1548.75
20150227,1448.48,1544.14
20150302,1454.50,1550.58
20150303,1448.43,1544.12
20150304,1441.45,1537.10
20150305,1443.65,1539.56
20150306,1422.92,1517.76
20150309,1428.92,1524.34
20150310,1404.80,1498.66
20150311,1404.98,1499.14
20150312,1421.57,1517.24
20150313,1413.42,1508.58
20150316,1431.34,1527.72
20150317,1424.40,1520.33
20150318,1442.47,1539.62
20150319,1431.43,1527.84
20150320,1444.40,1541.69
20150323,1444.17,1541.44
20150324,1433.42,1529.96
20150325,1417.58,1513.10
20150326,1413.53,1508.85
20150327,1416.94,1512.94
20150330,1434.83,1532.15
20150331,1423.11,1519.84
20150401,1417.69,1514.36
20150402,1422.23,1519.22
20150406,1431.63,1529.26
20150407,1429.17,1526.64
20150408,1429.53,1527.88
20150409,1436.71,1535.57
20150410,1446.75,1546.30
20150413,1440.22,1539.43
20150414,1444.32,1543.81
20150415,1452.96,1553.04
20150416,1450.63,1550.62
20150417,1436.39,1535.39
20150420,1448.26,1548.11
20150421,1442.80,1542.28
20150422,1449.42,1549.43
20150423,1453.00,1553.52
20150424,1455.90,1556.62
20150427,1449.93,1550.25
20150428,1459.14,1560.20
20150429,1455.31,1556.24
20150430,1443.90,1544.14
20150501,1456.81,1557.95
20150504,1462.52,1564.06
20150505,1447.32,1548.03
20150506,1440.04,1541.24
20150507,1444.18,1545.83
20150508,1463.97,1567.01
20150511,1456.29,1559.32
